"EmpNumber","Age","Gender","EducationBackground","MaritalStatus","EmpDepartment","EmpJobRole","BusinessTravelFrequency","DistanceFromHome","EmpEducationLevel","EmpEnvironmentSatisfaction","EmpHourlyRate","EmpJobInvolvement","EmpJobLevel","EmpJobSatisfaction","NumCompaniesWorked","OverTime","EmpLastSalaryHikePercent","EmpRelationshipSatisfaction","TotalWorkExperienceInYears","TrainingTimesLastYear","EmpWorkLifeBalance","ExperienceYearsAtThisCompany","ExperienceYearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition","PerformanceRating"
"E1001520","42","Female","Medical","Married","Research & Development","Research Director","Travel_Frequently","26","5","1","60","3","3","1","3","Yes","17","3","20","6","3","1","0","0","0","No","3"
"E1001522","27","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","14","3","1","42","3","1","1","1","Yes","14","4","9","3","2","9","7","6","8","No","2"
"E1001523","54","Female","Life Sciences","Divorced","Research & Development","Manufacturing Director","Travel_Frequently","1","4","4","53","3","3","3","7","No","17","1","33","2","1","5","4","1","4","No","3"
"E1001524","44","Female","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","2","1","1","72","4","1","4","1","No","13","4","10","5","3","10","5","7","7","No","2"
"E1001526","19","Female","Medical","Single","Research & Development","Research Scientist","Non-Travel","10","3","1","96","2","1","2","1","Yes","25","2","1","2","4","1","1","0","0","Yes","4"
"E1001528","54","Male","Life Sciences","Married","Research & Development","Research Director","Travel_Rarely","3","3","4","85","3","4","4","3","No","14","1","36","2","3","10","9","0","9","No","3"
"E1001529","31","Male","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","11","2","3","80","3","2","1","1","Yes","12","4","6","2","2","6","5","0","1","No","3"
"E1001533","43","Male","Life Sciences","Married","Research & Development","Research Director","Travel_Rarely","3","3","3","96","1","5","4","3","No","14","2","25","2","3","8","7","0","7","No","3"
"E1001534","49","Male","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","4","2","1","85","2","5","3","2","No","13","3","23","2","4","1","0","0","0","No","3"
"E1001535","36","Male","Technical Degree","Married","Research & Development","Research Scientist","Travel_Frequently","3","3","3","46","3","1","2","1","No","12","3","12","2","2","11","10","0","7","No","3"
"E1001536","48","Male","Technical Degree","Single","Research & Development","Laboratory Technician","Travel_Rarely","2","2","4","76","4","1","2","5","No","11","3","7","4","2","1","0","0","0","No","3"
"E1001538","29","Male","Life Sciences","Divorced","Research & Development","Manager R&D","Travel_Rarely","7","3","3","82","3","2","4","1","Yes","11","2","6","2","3","6","0","1","0","No","3"
"E1001541","48","Male","Life Sciences","Single","Research & Development","Research Director","Travel_Rarely","1","3","4","76","2","5","4","6","No","12","3","25","3","4","1","0","0","0","No","4"
"E1001542","29","Female","Life Sciences","Divorced","Research & Development","Research Director","Travel_Rarely","1","3","4","87","2","4","4","3","No","14","2","9","2","2","7","7","1","7","No","3"
"E1001545","44","Male","Marketing","Married","Sales","Manager","Travel_Rarely","5","3","2","88","3","5","2","7","No","11","3","26","5","3","22","9","3","10","No","2"
"E1001548","23","Male","Life Sciences","Married","Research & Development","Research Scientist","Travel_Rarely","1","2","4","47","3","1","3","1","No","22","4","1","2","3","1","0","0","1","No","4"
"E1001553","26","Male","Life Sciences","Single","Research & Development","Research Scientist","Travel_Rarely","4","2","3","53","3","1","4","1","Yes","20","2","8","2","2","8","5","2","2","No","4"
"E1001555","45","Female","Marketing","Single","Sales","Manager","Travel_Rarely","2","3","1","94","1","5","2","2","Yes","16","1","26","2","3","24","10","1","11","Yes","2"
"E1001556","55","Male","Medical","Divorced","Research & Development","Healthcare Representative","Non-Travel","8","1","4","37","2","4","2","1","Yes","15","4","34","3","3","33","9","15","0","No","3"
"E1001557","21","Female","Life Sciences","Single","Research & Development","Laboratory Technician","Travel_Frequently","10","2","1","45","2","1","3","1","No","20","3","2","2","1","2","2","2","2","Yes","2"
"E1001558","46","Female","Marketing","Married","Sales","Manager","Travel_Rarely","4","2","4","33","2","5","2","2","No","14","3","26","2","3","11","4","0","8","No","3"
"E1001559","34","Female","Marketing","Single","Sales","Sales Executive","Travel_Rarely","2","3","3","86","3","2","1","0","Yes","12","4","4","3","3","3","2","0","2","No","3"
"E1001560","51","Male","Life Sciences","Divorced","Sales","Manager","Travel_Frequently","9","3","4","83","3","5","2","4","Yes","24","1","31","5","2","29","10","11","10","No","4"
"E1001561","59","Male","Medical","Single","Research & Development","Manager R&D","Travel_Rarely","18","4","4","67","3","3","4","6","No","12","4","25","6","2","9","7","5","4","No","3"
"E1001563","34","Female","Medical","Divorced","Research & Development","Laboratory Technician","Travel_Frequently","19","3","3","46","3","2","2","4","No","13","3","15","2","4","11","8","5","10","No","3"
"E1001564","28","Male","Medical","Single","Research & Development","Laboratory Technician","Travel_Frequently","1","4","4","44","3","1","3","0","Yes","11","3","5","2","2","4","2","0","2","No","3"
"E1001566","44","Male","Life Sciences","Divorced","Research & Development","Manager R&D","Travel_Rarely","4","2","3","92","4","5","1","1","No","14","4","26","4","2","25","9","14","13","No","3"
"E1001567","34","Male","Life Sciences","Married","Human Resources","Human Resources","Travel_Frequently","11","3","3","56","2","2","2","4","No","11","4","14","5","4","10","9","1","8","No","3"
"E1001569","35","Male","Life Sciences","Married","Research & Development","Research Scientist","Travel_Rarely","6","1","3","66","3","1","3","0","Yes","14","4","4","3","3","3","2","2","2","No","3"
"E1001570","42","Female","Medical","Married","Research & Development","Research Scientist","Travel_Rarely","7","4","2","78","4","2","2","6","Yes","16","4","18","2","3","1","0","0","0","No","3"
"E1001571","43","Female","Marketing","Single","Sales","Sales Executive","Travel_Rarely","4","4","4","56","2","3","4","3","No","14","4","23","3","4","21","7","15","17","No","3"
"E1001572","36","Female","Life Sciences","Single","Research & Development","Manufacturing Director","Travel_Rarely","2","4","3","53","3","2","2","9","Yes","11","4","18","2","3","16","14","5","12","No","3"
"E1001574","28","Male","Life Sciences","Married","Research & Development","Laboratory Technician","Travel_Frequently","2","3","4","52","2","1","4","1","Yes","12","2","2","2","3","2","2","2","2","No","3"
"E1001575","51","Female","Medical","Single","Research & Development","Laboratory Technician","Travel_Frequently","6","2","2","40","2","1","3","0","No","14","2","8","6","2","7","0","7","7","No","3"
"E1001576","30","Female","Medical","Single","Research & Development","Manufacturing Director","Non-Travel","9","2","3","72","3","2","3","7","Yes","18","3","10","3","3","8","4","1","7","No","3"
"E1001577","29","Female","Technical Degree","Divorced","Research & Development","Laboratory Technician","Travel_Rarely","7","3","2","39","3","1","3","3","Yes","13","1","10","2","3","7","7","7","7","Yes","2"
"E1001579","28","Male","Technical Degree","Single","Research & Development","Research Scientist","Travel_Rarely","1","3","4","84","3","1","1","2","No","11","2","5","2","2","3","2","1","2","No","3"
"E1001581","25","Female","Medical","Single","Research & Development","Research Scientist","Travel_Rarely","1","3","4","40","3","1","2","1","No","18","4","2","3","2","2","2","2","1","No","3"
"E1001582","32","Male","Medical","Married","Sales","Sales Executive","Travel_Rarely","8","3","3","56","4","2","4","1","No","15","3","10","4","4","10","7","0","8","No","3"
"E1001584","45","Female","Medical","Single","Research & Development","Manager","Travel_Frequently","25","3","2","83","3","5","2","3","No","22","3","22","4","3","0","0","0","0","No","4"
"E1001585","39","Female","Medical","Divorced","Research & Development","Manager","Travel_Rarely","13","4","3","94","2","4","2","6","Yes","13","4","21","4","3","19","9","15","2","No","3"
"E1001586","58","Male","Life Sciences","Divorced","Research & Development","Research Scientist","Travel_Rarely","23","4","1","88","3","1","3","1","No","12","4","2","3","3","2","2","2","2","No","2"
"E1001587","32","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","7","2","4","79","3","2","3","1","No","18","1","10","3","3","10","4","1","1","Yes","3"
"E1001590","36","Female","Technical Degree","Married","Research & Development","Healthcare Representative","Travel_Rarely","10","4","4","63","3","3","3","3","No","12","1","10","0","3","7","7","1","7","No","3"
"E1001592","46","Female","Life Sciences","Single","Human Resources","Human Resources","Travel_Rarely","1","2","4","44","3","1","1","6","No","12","3","10","3","4","7","6","5","7","No","3"
"E1001593","28","Female","Life Sciences","Married","Research & Development","Manager R&D","Non-Travel","1","3","3","55","1","2","4","0","No","11","1","10","6","3","9","8","7","5","No","3"
"E1001595","50","Female","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","28","3","4","43","3","4","1","4","Yes","11","2","25","2","3","3","2","1","2","No","3"
"E1001596","40","Male","Marketing","Single","Sales","Sales Executive","Travel_Rarely","25","4","4","57","2","3","2","2","Yes","12","3","9","2","3","5","4","1","0","Yes","3"
"E1001597","52","Male","Life Sciences","Single","Sales","Sales Executive","Travel_Rarely","5","3","2","64","3","3","2","9","Yes","19","3","10","2","2","8","7","7","7","Yes","2"
"E1001602","31","Female","Life Sciences","Divorced","Sales","Sales Executive","Non-Travel","2","4","4","57","3","3","3","1","Yes","19","1","10","5","2","10","8","9","6","No","3"
"E1001607","41","Male","Medical","Single","Sales","Sales Executive","Non-Travel","10","2","3","40","1","2","2","1","No","13","1","19","4","3","19","2","11","9","No","3"
"E1001614","55","Female","Medical","Married","Research & Development","Manager","Travel_Rarely","2","2","4","58","1","5","3","4","No","14","4","23","5","3","19","9","9","11","No","3"
"E1001616","56","Male","Life Sciences","Single","Human Resources","Manager","Travel_Rarely","8","4","4","99","3","5","2","6","No","14","1","36","4","3","7","3","7","7","No","3"
"E1001618","40","Male","Life Sciences","Divorced","Research & Development","Research Scientist","Non-Travel","16","2","3","74","3","1","3","9","No","16","2","6","0","3","4","2","0","0","No","3"
"E1001622","34","Male","Life Sciences","Divorced","Research & Development","Healthcare Representative","Travel_Rarely","9","3","4","86","3","3","4","0","No","11","4","10","0","2","9","7","1","6","No","3"
"E1001627","41","Female","Marketing","Divorced","Sales","Sales Executive","Travel_Frequently","1","3","3","66","3","2","1","0","No","17","4","10","2","3","9","3","1","7","No","3"
"E1001628","35","Male","Life Sciences","Single","Research & Development","Research Scientist","Travel_Frequently","4","4","3","87","3","2","3","1","Yes","11","2","9","3","3","9","6","1","1","No","3"
"E1001630","51","Male","Life Sciences","Divorced","Human Resources","Manager","Travel_Rarely","5","3","3","84","3","4","2","1","Yes","11","2","33","2","3","33","9","0","10","No","3"
"E1001633","38","Female","Life Sciences","Divorced","Sales","Sales Executive","Travel_Rarely","2","2","2","31","3","2","1","3","No","15","4","11","3","3","7","7","1","7","No","2"
"E1001634","34","Female","Medical","Single","Sales","Sales Executive","Travel_Rarely","15","2","3","66","3","2","1","1","No","12","4","10","6","4","10","8","9","6","No","3"
"E1001636","25","Male","Medical","Married","Research & Development","Laboratory Technician","Travel_Rarely","19","1","4","67","3","1","4","3","No","11","3","7","6","2","3","2","1","2","No","3"
"E1001638","58","Female","Medical","Married","Research & Development","Manufacturing Director","Travel_Rarely","7","4","3","53","2","3","1","7","Yes","14","4","31","0","2","10","9","5","9","Yes","3"
"E1001639","40","Male","Life Sciences","Married","Research & Development","Laboratory Technician","Travel_Rarely","1","4","2","88","3","1","2","3","No","22","3","7","3","3","4","2","0","3","No","3"
"E1001640","36","Female","Marketing","Married","Sales","Sales Executive","Travel_Frequently","7","3","1","83","4","2","1","2","No","16","4","17","2","2","15","7","6","13","No","2"
"E1001641","48","Male","Life Sciences","Single","Research & Development","Manufacturing Director","Travel_Rarely","4","3","4","54","3","3","4","1","No","11","3","11","2","3","10","9","0","8","No","3"
"E1001642","27","Female","Medical","Married","Sales","Sales Representative","Travel_Rarely","11","3","3","98","4","1","4","8","No","14","2","5","4","3","1","0","0","0","No","3"
"E1001645","51","Female","Technical Degree","Single","Research & Development","Manager R&D","Travel_Rarely","11","2","4","82","2","4","2","3","No","16","2","29","1","2","5","2","0","3","No","3"
"E1001646","18","Female","Life Sciences","Single","Research & Development","Manager R&D","Non-Travel","1","3","4","97","3","1","4","1","No","15","3","0","5","4","0","0","0","0","No","4"
"E1001647","35","Female","Medical","Married","Research & Development","Laboratory Technician","Travel_Rarely","1","3","4","60","2","2","4","0","No","12","2","10","0","3","9","7","0","0","No","3"
"E1001649","27","Male","Life Sciences","Single","Sales","Sales Executive","Travel_Frequently","2","1","4","43","1","2","4","3","No","20","2","8","3","3","6","2","0","0","No","4"
"E1001650","55","Male","Marketing","Single","Sales","Sales Executive","Travel_Rarely","13","4","1","85","4","4","3","6","Yes","17","3","24","2","2","19","7","3","8","Yes","2"
"E1001651","56","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","23","3","4","68","3","4","2","4","Yes","12","1","33","0","3","19","16","15","9","No","3"
"E1001652","34","Female","Technical Degree","Divorced","Research & Development","Research Scientist","Non-Travel","26","1","1","92","2","1","3","1","No","20","3","5","2","3","5","4","0","0","No","3"
"E1001653","40","Female","Medical","Divorced","Research & Development","Manager R&D","Travel_Rarely","2","1","2","89","4","2","3","5","No","20","2","15","0","3","12","11","11","8","No","2"
"E1001655","34","Male","Medical","Married","Research & Development","Laboratory Technician","Travel_Rarely","29","3","2","86","3","2","3","4","No","13","1","10","1","3","8","7","7","7","No","2"
"E1001657","31","Female","Life Sciences","Single","Sales","Sales Representative","Travel_Frequently","2","3","3","90","2","1","4","7","No","14","3","3","3","4","1","0","0","0","Yes","3"
"E1001660","38","Male","Life Sciences","Divorced","Research & Development","Research Scientist","Travel_Frequently","7","3","4","57","4","1","3","1","No","11","4","4","2","3","4","2","0","3","No","3"
"E1001661","34","Female","Technical Degree","Single","Research & Development","Healthcare Representative","Travel_Rarely","2","4","3","98","3","2","4","1","No","11","4","14","2","4","14","11","4","11","No","3"
"E1001665","28","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","26","3","3","48","2","2","1","1","No","11","3","5","0","3","5","3","0","4","No","3"
"E1001668","39","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","21","4","1","44","2","2","4","3","Yes","12","4","8","2","4","5","4","1","4","No","2"
"E1001669","51","Male","Marketing","Married","Sales","Sales Executive","Travel_Frequently","2","3","2","52","3","3","2","2","No","11","2","14","5","3","4","2","3","2","No","2"
"E1001670","41","Female","Life Sciences","Divorced","Research & Development","Manager R&D","Travel_Frequently","22","3","4","75","3","2","4","3","Yes","14","1","12","4","2","6","2","3","3","No","3"
"E1001673","33","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Frequently","5","1","2","61","3","2","4","6","No","13","1","8","2","4","5","4","1","2","No","2"
"E1001674","32","Male","Marketing","Married","Sales","Sales Executive","Travel_Rarely","2","1","3","36","3","2","2","0","Yes","13","1","4","3","2","3","2","1","2","No","3"
"E1001675","39","Male","Life Sciences","Married","Research & Development","Manager R&D","Non-Travel","25","2","3","71","3","3","3","3","No","21","2","13","2","3","6","4","0","5","No","4"
"E1001677","25","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","18","1","1","93","4","2","3","2","No","11","2","6","3","2","3","2","1","2","No","2"
"E1001679","52","Female","Medical","Married","Research & Development","Manufacturing Director","Travel_Frequently","28","2","4","59","4","4","3","2","Yes","11","2","24","3","2","5","3","0","2","No","3"
"E1001680","43","Female","Medical","Single","Research & Development","Research Scientist","Travel_Rarely","6","3","1","73","2","2","3","1","Yes","14","1","20","3","1","20","7","1","8","No","2"
"E1001681","27","Female","Marketing","Married","Sales","Sales Executive","Travel_Rarely","10","3","4","98","2","2","4","1","Yes","11","4","6","3","3","6","2","4","4","No","3"
"E1001683","27","Female","Life Sciences","Single","Research & Development","Research Scientist","Travel_Rarely","17","4","4","51","3","1","3","1","Yes","13","4","8","2","3","8","2","7","7","Yes","3"
"E1001685","26","Male","Medical","Single","Research & Development","Research Scientist","Travel_Rarely","2","1","1","36","2","1","4","0","No","12","4","5","2","3","4","3","1","1","No","3"
"E1001686","42","Female","Human Resources","Married","Human Resources","Manager","Travel_Rarely","10","3","3","31","3","4","1","0","No","14","3","21","5","3","20","7","0","9","No","3"
"E1001689","37","Female","Medical","Single","Research & Development","Manager R&D","Travel_Rarely","11","3","1","94","3","1","3","4","No","18","1","8","6","3","3","2","0","2","No","3"
"E1001690","35","Male","Life Sciences","Single","Research & Development","Manufacturing Director","Travel_Frequently","18","2","3","60","3","3","4","2","No","11","3","10","2","3","2","2","2","2","No","3"
"E1001693","25","Male","Technical Degree","Married","Research & Development","Laboratory Technician","Travel_Rarely","1","3","1","81","3","1","4","4","No","11","2","7","2","2","3","2","0","2","No","3"
"E1001697","29","Male","Other","Single","Human Resources","Human Resources","Travel_Rarely","17","3","2","51","2","3","1","1","No","13","1","10","3","2","10","9","0","9","No","3"
"E1001698","49","Male","Life Sciences","Single","Research & Development","Manager R&D","Travel_Frequently","28","2","1","97","2","2","1","3","No","20","1","20","2","3","4","3","1","3","Yes","3"
"E1001700","54","Female","Medical","Single","Research & Development","Research Director","Travel_Rarely","1","3","4","54","3","4","4","6","No","19","4","29","3","2","20","7","12","7","No","3"
"E1001701","58","Female","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","1","3","4","76","3","5","1","3","Yes","21","3","32","3","3","9","8","1","5","No","4"
"E1001703","36","Female","Marketing","Single","Sales","Sales Executive","Travel_Rarely","3","4","1","99","3","2","2","3","Yes","16","4","15","3","3","5","4","0","1","No","3"
"E1001705","31","Female","Life Sciences","Single","Sales","Sales Representative","Travel_Frequently","1","4","2","50","1","1","3","1","No","12","2","1","3","3","1","0","0","0","Yes","3"
"E1001706","30","Female","Marketing","Divorced","Sales","Sales Executive","Travel_Rarely","7","4","4","73","3","2","1","7","No","14","2","8","3","3","3","2","0","2","No","3"
"E1001708","31","Female","Life Sciences","Single","Research & Development","Research Director","Travel_Rarely","8","5","1","93","3","4","2","3","No","11","3","9","3","4","3","2","1","0","No","3"
"E1001709","34","Male","Other","Divorced","Research & Development","Research Scientist","Travel_Frequently","1","4","4","91","3","1","1","5","No","14","3","10","2","3","4","3","1","3","No","3"
"E1001711","31","Female","Life Sciences","Single","Research & Development","Research Scientist","Travel_Rarely","8","3","1","34","2","1","2","1","No","12","3","1","3","4","1","0","0","0","Yes","3"
"E1001712","27","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","11","1","2","91","3","1","1","0","No","14","2","6","3","4","5","0","1","4","No","3"
"E1001713","36","Male","Life Sciences","Single","Research & Development","Laboratory Technician","Travel_Rarely","4","4","1","37","2","2","4","1","No","16","3","10","2","2","10","4","1","8","No","2"
"E1001716","47","Male","Technical Degree","Married","Research & Development","Research Scientist","Travel_Rarely","1","3","1","74","3","1","4","7","No","12","3","17","2","2","6","5","1","2","No","2"
"E1001717","25","Male","Life Sciences","Married","Sales","Sales Representative","Travel_Rarely","9","2","1","68","2","1","1","3","No","12","1","6","2","3","3","2","2","2","Yes","2"
"E1001718","37","Male","Technical Degree","Single","Research & Development","Manager R&D","Non-Travel","5","2","3","84","4","1","3","0","No","14","1","7","2","1","6","5","1","3","No","3"
"E1001719","56","Female","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","1","2","1","90","3","1","1","2","No","22","4","5","3","4","3","2","1","0","No","4"
"E1001723","24","Female","Medical","Married","Sales","Sales Executive","Travel_Rarely","4","1","4","42","3","2","3","1","Yes","12","3","5","3","3","5","4","0","3","No","3"
"E1001725","34","Female","Life Sciences","Married","Research & Development","Laboratory Technician","Travel_Rarely","1","3","4","86","2","1","2","5","No","17","1","7","2","2","5","4","0","2","No","3"
"E1001726","41","Male","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","5","5","2","90","4","1","3","2","Yes","12","1","7","5","2","4","2","0","3","No","3"
"E1001727","40","Male","Other","Divorced","Research & Development","Laboratory Technician","Non-Travel","9","4","3","81","3","2","3","3","No","11","3","11","2","4","8","7","0","7","No","3"
"E1001731","31","Male","Life Sciences","Divorced","Sales","Sales Executive","Travel_Rarely","8","2","1","31","3","3","4","1","No","18","1","13","5","3","13","7","9","9","No","2"
"E1001736","39","Female","Life Sciences","Single","Research & Development","Laboratory Technician","Non-Travel","2","3","1","54","2","1","1","2","Yes","23","2","11","2","4","1","0","0","0","Yes","4"
"E1001737","31","Female","Life Sciences","Single","Research & Development","Manager R&D","Travel_Frequently","1","5","3","100","4","3","2","1","No","11","1","10","2","3","10","8","4","7","Yes","3"
"E1001738","45","Male","Medical","Divorced","Research & Development","Manager R&D","Travel_Rarely","20","3","2","95","1","3","1","2","Yes","18","2","24","2","3","7","7","0","7","No","3"
"E1001739","31","Female","Medical","Single","Human Resources","Human Resources","Travel_Rarely","8","2","4","96","4","1","2","9","No","18","4","8","3","3","3","2","0","2","No","3"
"E1001743","45","Male","Technical Degree","Married","Research & Development","Manager R&D","Travel_Rarely","29","3","2","55","3","3","4","4","Yes","18","4","10","4","4","3","1","1","2","No","3"
"E1001745","34","Female","Technical Degree","Married","Human Resources","Human Resources","Travel_Rarely","9","4","1","52","3","1","3","1","No","15","4","2","0","3","2","2","2","2","Yes","2"
"E1001746","40","Male","Medical","Divorced","Research & Development","Research Director","Non-Travel","8","1","4","55","2","3","2","2","No","11","3","16","5","3","9","8","4","8","No","3"
"E1001749","44","Male","Life Sciences","Single","Research & Development","Laboratory Technician","Non-Travel","5","3","3","90","2","1","3","3","No","14","4","7","5","3","5","2","0","3","No","3"
"E1001751","49","Male","Technical Degree","Married","Research & Development","Manager R&D","Travel_Rarely","5","4","1","96","3","2","3","2","No","14","2","20","0","2","3","2","1","2","No","2"
"E1001752","40","Male","Medical","Divorced","Research & Development","Research Scientist","Travel_Rarely","2","3","3","68","3","1","3","2","No","14","3","8","3","4","3","1","1","2","No","4"
"E1001753","44","Male","Life Sciences","Single","Research & Development","Manager R&D","Travel_Rarely","20","3","4","49","3","1","2","1","No","13","3","6","3","2","5","2","1","3","No","3"
"E1001755","33","Male","Medical","Married","Sales","Sales Executive","Travel_Frequently","7","3","4","54","3","2","1","0","No","14","1","5","2","3","4","3","0","3","No","3"
"E1001756","34","Male","Other","Single","Sales","Sales Executive","Travel_Rarely","3","3","4","81","1","2","1","3","No","18","4","15","2","3","13","9","3","12","No","3"
"E1001757","30","Male","Life Sciences","Married","Sales","Sales Executive","Travel_Rarely","16","1","4","96","3","2","3","8","No","15","3","4","2","2","2","1","2","2","No","3"
"E1001758","42","Female","Medical","Single","Research & Development","Laboratory Technician","Travel_Frequently","9","2","1","74","3","1","4","1","No","13","3","12","3","3","12","9","5","8","No","2"
"E1001759","44","Female","Marketing","Married","Sales","Sales Executive","Travel_Frequently","1","5","1","79","3","2","3","7","No","12","3","11","4","2","1","0","0","0","No","3"
"E1001760","30","Male","Technical Degree","Divorced","Research & Development","Research Scientist","Non-Travel","7","3","3","64","3","1","3","1","No","13","2","1","2","2","1","0","0","0","No","3"
"E1001761","57","Male","Life Sciences","Married","Research & Development","Research Scientist","Travel_Rarely","1","2","2","93","4","2","3","0","No","24","1","13","2","2","12","9","2","8","No","2"
"E1001762","49","Male","Life Sciences","Divorced","Research & Development","Manager R&D","Travel_Rarely","7","4","3","35","3","3","2","3","No","14","2","29","3","3","8","7","0","7","No","3"
"E1001763","34","Male","Medical","Divorced","Research & Development","Research Director","Travel_Frequently","15","3","2","71","3","4","1","7","No","14","4","16","3","2","14","8","6","9","No","2"
"E1001764","28","Male","Technical Degree","Married","Sales","Sales Representative","Travel_Frequently","1","3","1","92","3","1","3","3","No","15","4","5","3","4","3","2","1","2","Yes","2"
"E1001767","34","Female","Medical","Single","Sales","Sales Executive","Travel_Rarely","24","4","1","40","2","2","2","0","Yes","23","3","16","2","4","15","9","10","10","Yes","2"
"E1001770","35","Male","Life Sciences","Married","Sales","Sales Representative","Travel_Rarely","7","1","4","76","3","1","3","1","No","13","1","1","3","3","1","0","0","0","No","3"
"E1001773","24","Female","Life Sciences","Married","Sales","Sales Representative","Non-Travel","13","2","4","78","3","1","2","1","No","13","3","1","2","3","1","0","0","0","No","3"
"E1001774","44","Male","Medical","Single","Research & Development","Manager R&D","Travel_Frequently","2","1","2","86","3","3","3","5","Yes","18","2","16","2","2","2","2","2","2","No","2"
"E1001775","29","Male","Life Sciences","Divorced","Sales","Sales Executive","Travel_Rarely","19","3","3","77","2","2","3","1","No","14","3","10","3","3","10","7","0","4","No","3"
"E1001779","55","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","4","4","4","30","3","2","3","0","Yes","16","2","4","2","3","3","2","1","2","No","3"
"E1001780","33","Female","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","4","4","1","82","2","1","2","8","No","11","4","8","5","3","5","4","0","2","No","3"
"E1001781","47","Female","Medical","Married","Sales","Sales Executive","Travel_Rarely","14","3","3","78","3","2","3","3","Yes","17","3","11","4","2","5","4","1","2","No","3"
"E1001782","28","Male","Medical","Single","Research & Development","Laboratory Technician","Travel_Frequently","2","2","3","38","2","1","1","7","No","11","3","8","2","2","0","0","0","0","Yes","3"
"E1001784","28","Male","Life Sciences","Divorced","Research & Development","Manager R&D","Travel_Rarely","1","3","1","72","2","1","3","1","No","14","4","1","2","1","1","0","0","0","No","3"
"E1001785","28","Male","Life Sciences","Single","Sales","Sales Executive","Travel_Frequently","7","3","3","55","3","2","1","0","No","14","4","5","5","3","4","2","1","3","No","3"
"E1001787","49","Female","Medical","Married","Research & Development","Laboratory Technician","Travel_Rarely","3","2","3","43","2","2","1","4","No","25","1","10","3","3","3","2","1","2","No","4"
"E1001791","29","Female","Life Sciences","Married","Research & Development","Laboratory Technician","Travel_Frequently","2","1","4","97","3","1","2","0","No","13","3","4","3","3","3","2","0","2","No","3"
"E1001792","28","Male","Life Sciences","Married","Research & Development","Manager R&D","Travel_Rarely","29","1","3","96","1","2","2","1","No","14","2","8","2","2","8","6","1","7","No","3"
"E1001793","33","Male","Life Sciences","Single","Research & Development","Healthcare Representative","Travel_Rarely","8","5","4","69","3","2","3","2","Yes","17","1","14","6","3","0","0","0","0","No","3"
"E1001794","32","Male","Medical","Single","Research & Development","Manager","Travel_Rarely","10","3","3","64","3","3","4","2","No","25","2","10","5","4","5","2","0","0","No","3"
"E1001798","54","Female","Medical","Divorced","Research & Development","Manager R&D","Travel_Frequently","11","4","2","87","3","4","4","3","No","20","1","26","2","3","14","9","1","12","No","2"
"E1001800","29","Male","Technical Degree","Single","Research & Development","Research Scientist","Travel_Rarely","1","4","1","100","2","1","1","6","No","13","3","11","2","1","9","7","0","7","Yes","3"
"E1001805","46","Female","Life Sciences","Married","Sales","Manager","Travel_Rarely","3","3","3","51","3","4","2","8","No","12","4","23","2","4","13","12","5","1","No","3"
"E1001807","35","Female","Life Sciences","Single","Research & Development","Manager R&D","Travel_Rarely","16","3","4","91","2","3","2","1","No","19","4","11","3","1","11","8","3","3","No","3"
"E1001811","23","Male","Life Sciences","Single","Research & Development","Laboratory Technician","Travel_Rarely","20","1","1","97","3","2","3","0","No","14","2","5","2","3","4","3","1","2","No","2"
"E1001812","40","Male","Life Sciences","Single","Research & Development","Laboratory Technician","Travel_Rarely","9","4","4","86","3","1","1","3","No","14","2","15","3","1","5","4","1","0","Yes","3"
"E1001813","34","Male","Technical Degree","Married","Sales","Sales Executive","Travel_Rarely","1","3","4","64","2","3","3","1","Yes","14","4","10","3","3","10","9","8","6","No","3"
"E1001817","50","Male","Medical","Single","Research & Development","Research Director","Travel_Frequently","22","5","3","88","1","4","4","1","Yes","13","4","32","2","3","32","6","13","9","No","3"
"E1001820","42","Male","Medical","Married","Research & Development","Manager R&D","Travel_Rarely","2","3","3","68","2","1","2","4","No","14","2","4","3","3","1","0","0","0","No","3"
"E1001821","37","Male","Medical","Married","Research & Development","Research Scientist","Travel_Rarely","13","3","1","47","3","2","4","1","No","17","1","10","2","3","10","8","3","7","No","2"
"E1001822","29","Female","Other","Married","Research & Development","Healthcare Representative","Travel_Rarely","8","1","3","39","1","2","1","3","No","13","3","9","3","3","7","7","0","7","No","3"
